country,installation_id,installation_name,installation_city,account_holder,account_status,permit_id,status,latest_update,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,1024,AHLSTROM MUNKSJO SPECIALTIES SAINT SEVERIN,Saint Séverin,AHLSTROM MUNKSJÖ SPECIALTIES,open,07201362,Active,2014-01-27 16:57:36,34448,34448,34447,29599,29599,29599,29599,29599,25945,25495,25039,24578,24112,23643,23166,22688
France,1025,Alamigeon Papers & Technologies,Ruelle sur Touvre,ALAMIGEON PAPERS & TECHNOLOGIES,open,07201363,Active,2014-01-27 16:57:36,6193,6193,6193,5322,5322,5322,5322,5322,4147,4075,4002,3928,3854,3779,3703,3626
France,1026,OTOR GODARD,Iteuil,OTOR GODARD,closed,07201366,Account Closed,2009-05-08 09:13:58,24448,24448,24449,,,,,,,,,,,,,
France,1027,Michelin - Site de Poitiers,Poitiers cedex,MARTINEZ,closed,07201374,Account Closed,2009-05-08 09:13:58,21123,21123,21124,,,,,,,,,,,,,
France,1028,Tuilerie MONIER ROUMAZIERES,ROUMAZIERES,MONIER,open,07201508,Active,2014-01-27 16:57:37,29720,29720,29719,28816,28816,28816,28816,28816,27014,26545,26070,25589,25105,24616,24120,23623
France,1029,Lafarge Ciments - Usine de La Couronne,La Couronne,LAFARGEHOLCIM CIMENTS,closed,07201529,Permit Revoked,2017-05-10 10:56:00,629507,629507,629508,691123,691123,691123,691123,691123,578506,568458,558291,548019,0,0,0,0
France,1030,CIMENTS CALCIA - Usine d'Airvault,AIRVAULT,CIMENTS CALCIA,open,07201542,Active,2014-01-27 16:57:37,648453,648453,648453,762502,762502,762502,762502,762502,640520,629394,618139,606765,595269,583661,571909,560115
France,1031,SOFIVO CHAMPDENIERS,Champdeniers,SOFIVO SAS,open,07201652,Active,2014-01-27 16:57:37,31327,31327,31327,24896,24896,24896,24896,24896,18524,18202,17876,17547,17215,16879,16539,16198
France,1032,VERALLIA FRANCE - Cognac,Châteaubernard,VERALLIA FRANCE,open,07201655,Active,2014-01-27 16:57:38,123421,123421,123422,119266,119266,119266,119266,119266,102837,101050,99243,97417,95572,93708,91821,89928
France,1033,PAPETERIE ST MICHEL - GROUPE THIOLLET,Saint Michel,PAPETERIE SAINT MICHEL - GROUPE THIOLLET,open,07201656,Active,2014-01-27 16:57:38,33720,33720,33719,28973,28973,28973,28973,28973,21606,21230,20850,20467,20079,19687,19291,18893
France,1034,ROUSSELOT ANGOULEME SA,Angoulême,ROUSSELOT ANGOULEME SAS,open,07202778,Active,2014-01-27 16:57:38,52556,52556,52556,43976,43976,43976,43976,43976,27778,27295,26808,26315,25816,25312,24803,24291
France,1035,Station compres.de Chazelles (GDF),Chazelles,GRTGAZ,closed,07202944,Account Closed,2012-11-29 15:17:56,6209,6209,6208,56,0,0,0,0,,,,,,,,
France,1036,PAPETERIES DE VEUZE,Magnac sur Touvre,PAPETERIES DE VEUZE,closed,07202957,Permit Revoked,2012-12-06 11:57:46,46183,46183,46183,39682,39682,47035,47035,0,,,,,,,,
France,1037,CHU Poitiers,POITIERS Cedex,Centre Hospitalier Universitaire de Poitiers,open,07203207,Active,2014-01-27 16:57:39,12955,12955,12955,10192,10192,10192,10192,10192,5364,4800,4251,3720,3205,2706,2223,1759
France,1038,CIMENTS CALCIA - Usine de Bussac-Forêt,Bussac-Forêt,CIMENTS CALCIA,open,07203926,Active,2014-01-27 16:57:39,534478,534478,534477,609948,609948,609948,609948,609948,475928,467662,459298,450847,442305,433680,424948,416185
France,1039,Chaufferie des Couronneries - Poitiers,Poitiers,DALKIA,open,07204930,Active,2014-01-27 16:57:39,25699,25699,25700,17717,17717,17717,17717,17717,6559,5870,5199,4549,3919,3309,2719,2151
France,1040,EDF - Vazzio,Ajaccio,EDF SA,open,07300024,Active,2009-05-08 09:13:58,470283,470283,470282,331367,331367,331367,331367,331367,,,,,,,,
France,1041,EDF - Lucciana,Lucciana,EDF SA,open,07300025,Active,2012-12-21 13:44:34,196635,196635,196634,138551,138551,228456,228456,228456,,,,,,,,
France,1042,SOCCRAM Chaufferie du MIN de Rungis,Rungis,MERLE,closed,07402252,Account Closed,2009-05-08 09:13:58,3939,3939,3940,,,,,,,,,,,,,
France,1043,Mourmelon - Autres installations de combustion,Mourmelon le Grand,MINISTERE DES ARMEES,closed,09000003,Account Closed,2009-05-08 09:13:58,10207,10207,10207,,,,,,,,,,,,,
France,1044,Chaufferie n° 3 - Bâtiment 801,Orsay Cedex,MINISTERE DES ARMEES,closed,09000005,Permit Revoked,2009-05-08 09:13:58,33634,33634,33633,26459,26459,26459,26459,26459,,,,,,,,
France,1045,Chaufferie 12ème Régiment d'Artillerie,Haguenau Cedex,MINISTERE DES ARMEES,closed,09000008,Account Closed,2012-11-29 14:34:15,3764,3764,3765,2962,0,0,0,0,,,,,,,,
France,1046,DCNS CHERBOURG,CHERBOURG CEDEX,LE RUYET,closed,05305768,Permit Revoked,2012-12-04 14:10:58,11053,11053,11054,8696,8696,8696,0,0,,,,,,,,
France,1047,Centrale Thermique,Rochefort Air,MINISTERE DES ARMEES,closed,09000013,Account Closed,2012-11-29 14:37:22,1637,1637,1637,1288,0,0,0,0,,,,,,,,
France,1048,DCN SERVICES BREST,BREST CEDEX 2,DCNS,closed,09055101,Account Closed,2009-05-08 09:13:58,12804,12804,12803,,,,,,,,,,,,,
France,1049,CHAUFFERIE AIACF,Clermont Ferrand Cedex 2,MINISTERE DES ARMEES,open,09056710,Active,2014-01-27 16:57:39,14237,14237,14238,13586,13586,13586,13586,13586,7394,6617,5863,5131,4423,3738,3075,2435
France,1050,Chaufferie centrale de Bourges - Aéroport,Bourges Cedex,RAVETTO,closed,10000002,Permit Revoked,2009-05-08 09:13:58,9219,9219,9218,8797,8797,8797,8797,8797,,,,,,,,
France,1051,Usine Michelin de Bourges,Saint Doulchard,Manufacture Française des Pneumatiques Michelin,open,10000033,Active,2014-01-27 16:57:40,33440,33440,33439,26306,26306,26306,26306,26306,7675,7541,7407,7270,7133,6993,6853,6711
France,1052,SMURFIT PAPIER RECYCLE FRANCE Papeterie de Bigny,Bigny Vallenay,SMURFIT KAPPA PAPIER RECYCLE FRANCE,closed,10000042,Account Closed,2009-05-08 09:13:58,0,0,0,,,,,,,,,,,,,
France,1053,Station compres.St Arnoult des Bois (GDF),Paris,GRTGAZ,closed,10000212,Permit Revoked,2009-05-08 09:13:58,763,763,762,1890,1890,1890,1890,1890,,,,,,,,
France,1054,CRISTAL UNION - SUCRERIE DE TOURY,Toury,CRISTAL UNION,open,10000451,Active,2014-01-27 16:57:40,46589,46589,46588,39949,39949,45889,45889,39949,54638,53689,52729,51759,50779,49788,48785,47780
France,1055,BALSAN,Arthon,BALSAN SAS,open,10000496,Active,2014-01-27 16:57:40,10017,10017,10016,7880,7880,7880,7880,7880,6198,6089,5981,5871,5760,5647,5534,5419
France,1056,BERRY TUFT,Le Poinconnet,BERRY TUFT,closed,10000502,Account Closed,2009-05-08 09:13:58,17301,17301,17301,,,,,,,,,,,,,
France,1057,LFO SAINT GAULTIER,Saint Gaultier,LHOIST FRANCE OUEST,open,10000504,Active,2019-04-17 17:40:46,161090,161090,161089,158542,158542,158542,158542,158542,161932,159120,156274,153399,150492,147558,72293,70803
France,1058,INTERNATIONAL COOKWARE,Châteauroux Cedex,INTERNATIONAL COOKWARE,open,10000577,Active,2014-01-27 16:57:41,12292,12292,12291,12484,12484,12484,12484,12484,12347,12133,11915,11696,11474,11251,11024,10796
France,1059,RECIPHARM MONTS,MONTS,RECIPHARM MONTS,closed,10000635,Permit Revoked,2009-05-08 09:13:58,4710,4710,4711,3706,3706,3706,3706,3706,,,,,,,,
France,1060,CEA LE RIPAULT,MONTS,LALLEMAND,closed,10000644,Account Closed,2012-11-29 16:36:50,9618,9618,9617,7566,7566,0,0,0,,,,,,,,
France,1061,CIMENT CALCIA Usine de Villiers-au-Bouin,Villiers-au-Bouin,CIMENTS CALCIA,open,10000648,Active,2014-01-27 16:57:41,275089,275089,275088,236716,236716,236716,236716,236716,231799,227773,223700,219584,215423,211223,206969,202702
France,1062,PAPETERIES PALM SAS,Descartes,PAPETERIES PALM SAS,open,10000663,Active,2014-01-27 16:57:41,64558,64558,64557,55470,55470,55470,55470,55470,43729,42966,42194,41414,40626,39830,39025,38218
France,1063,Réseau de Chauffage Urbain de Joué Les Tours,Joué les Tours,DALKIA,open,10000670,Active,2020-04-20 09:54:47,37602,37602,37601,25922,25922,25922,25922,25922,13532,12110,10728,9390,8094,6840,5626,2229
France,1064,Storengy France - Stockage de Céré-la-Ronde,Céré La Ronde,STORENGY FRANCE,open,10000680,Active,2020-02-24 17:08:16,10040,10040,10041,14764,14764,14764,14764,14764,5142,2442,2162,1893,187,158,2131,3269
France,1065,Chaufferie La Rabaterie St-Pierre-des-Corps,SAINT-PIERRE-DES-CORPS,CORPOCHALEUR,closed,10000681,Permit Revoked,2016-05-11 14:15:08,6818,6818,6819,4700,4700,4700,4700,4700,3707,3317,2939,0,0,0,0,0
France,1066,Usine Michelin de Tours,Joué les Tours Cedex,Manufacture Française des Pneumatiques Michelin,closed,10000702,Permit Revoked,2016-05-11 14:14:44,44929,44929,44929,35344,35344,35344,35344,35344,20936,20572,10102,0,0,0,0,0
France,1067,DALKIA - COGENERATION DU SANITAS,Tours,SVD 17,closed,10000710,Permit Revoked,2012-12-06 10:22:02,15690,15690,15690,10817,0,0,0,0,,,,,,,,
France,1068,CARTONNERIE OUDIN,Truyes,CARTONNERIE OUDIN,open,10000712,Active,2014-01-27 16:57:42,10872,10872,10871,9342,9342,9342,9342,9342,7903,7766,7627,7486,7344,7201,7057,6911
France,1069,SCBC,Tours,SOCIETE DE CHAUFFAGE DES BORDS DU CHER,open,10000729,Active,2015-09-08 16:15:19,49206,49206,49206,33922,33922,33922,33922,33922,15628,13985,6195,5423,4674,3950,3249,2574
France,1070,DS SMITH PAPER COULLONS,Coullons,DS SMITH PAPER COULLONS,open,10000968,Active,2014-01-27 16:57:43,16730,16730,16731,14375,14375,14375,14375,14375,7175,7052,6925,6798,6669,6538,6408,6276
France,1071,ESSITY OPERATIONS FRANCE - Site de Gien,Gien Cedex,ESSITY OPERATIONS FRANCE,open,10001145,Active,2019-01-18 10:28:37,129708,129708,129708,111448,111448,184794,184794,184794,68994,53344,52327,51303,50272,62578,61259,59941
France,1072,MAINGOURD,La Chapelle Saint Mesmin,ETABLISSEMENTS RENE MAINGOURD,open,10001318,Active,2014-01-27 16:57:43,4462,4462,4462,3546,3546,3546,3546,3546,3400,3043,2696,2359,2032,1715,1410,1115
France,1073,SCA HYGIENE PRODUCTS OPERATIONS,Orléans Cedex 2,SCA HYGIENE PRODUCTS OPERATIONS,closed,10001457,Permit Revoked,2016-06-27 12:00:54,31222,31222,31223,26827,26827,26827,26827,26827,21315,20945,20570,0,0,0,0,0
France,1074,Sucrerie d'Artenay,Artenay,TEREOS FRANCE,open,10001557,Active,2014-01-27 16:57:44,58494,58494,58494,51846,51846,61106,61106,57515,77353,76010,74650,73276,71888,70486,69068,67643
France,1075,LES LABORATOIRES SERVIER INDUSTRIE,Gidy,LES LABORATOIRES SERVIER INDUSTRIE,open,10001569,Active,2014-04-22 17:22:52,6958,6958,6957,5474,5474,5474,5474,7094,6270 1371***,6161 1347***,6051 1323***,5940 1299***,5827 1276***,5713 1252***,5598 1228***,5483 1204***
France,1076,Chaufferie urbaine de Montargis,Montargis,SVD 17,closed,10001610,Permit Revoked,2012-12-05 14:52:50,20674,20674,20674,14253,14253,14253,14253,0,,,,,,,,
France,1077,SOCOS,Orléans,SOCIETE DE CHAUFFAGE D'ORLEANS LA SOURCE SOCOS,open,10001612,Active,2015-04-28 16:46:35,68695,68695,68696,47357,47357,47357,47357,47357,37706,16872,7473,6541,5639,4765,3919,3105
France,1078,SODC ORLEANS,ORLEANS,SOCIETE ORLEANAISE DE DISTRIBUTION DE CHALEUR,open,10001613,Active,2017-05-03 18:37:59,39242,39242,39241,27053,27053,27053,27053,27053,17332,15510,13741,6014,2592,2190,1802,1427
France,1079,SOFLEC,Fleury les Aubrais,SOCIETE FLEURY CHAUFFAGE- SOFLEC,open,10001618,Active,2014-01-27 16:57:45,13449,13449,13449,9272,9272,9272,9272,9272,4757,4030,3569,3124,2693,2276,1872,1482
France,1080,MARS PF FRANCE - Chaufferie,Saint Denis de l'Hôtel,MARS PF FRANCE,closed,10001733,Permit Revoked,2019-10-31 11:26:27,23355,23355,23354,18560,18560,18560,18560,18560,10315,9231,8176,7154,6163,5204,0,0
France,1081,Etablissement de La Chapelle,La Chapelle Saint Mesmin,DURALEX INTERNATIONAL,open,10001744,Active,2014-01-27 16:57:46,29135,29135,29134,28832,28832,28832,28832,28832,26871,26403,25931,25455,24971,24485,23992,23498
France,1082,Chaufferie Urbaine de la Zup de Blois,Blois,SOCIETE BLESOISE DE DISTRIBUTION DE CHALEUR (SBDC),open,10001767,Active,2015-04-28 16:46:32,29058,29058,29057,20032,20032,20032,20032,20032,13459,12045,5335,4667,4021,3395,2790,2207
France,1083,Storengy France - Stockage de Chémery,Chemery,STORENGY FRANCE,open,10001770,Active,2019-04-17 17:40:47,34467,34467,34466,60180,60180,60180,60180,60180,33038,29566,26188,22912,19739,5706,13694,10834
France,1084,BBES CHAUFFERIE ZUP DE LA CHANCELLERIE,Bourges,BOURGES BIO ENERGIE SERVICES,closed,10001894,Permit Revoked,2010-11-22 13:47:52,59542,59542,59541,41047,41047,16009,16009,16009,,,,,,,,
France,1085,Station compres.de Méry sur Cher (GDF),Vierzon,GRTGAZ,closed,10002048,Permit Revoked,2009-05-08 09:13:58,151,151,150,153,153,153,153,153,,,,,,,,
France,1086,CRISTAL UNION - SVI PITHIVIERS LE VIEIL,Pithiviers le Vieil,CRISTAL UNION,open,10002253,Active,2014-01-27 16:57:46,39731,39731,39730,34069,34069,34069,34069,34069,34417,33819,33215,32604,31986,31362,30730,30096
France,1087,CRISTAL UNION Ets de Corbeilles,Corbeilles,CRISTAL UNION,open,10002254,Active,2014-01-27 16:57:47,48196,48196,48196,45223,45223,45223,45223,45223,40249,39551,38844,38129,37406,36677,35938,35197
France,1088,DALKIA Industrie cogénération malterie,Issoudun,SVD 17,closed,10004382,Permit Revoked,2018-05-15 14:45:05,21041,21041,21040,14769,14769,14769,14769,14769,0,0,0,0,0,0,0,0
France,1089,SPL CME CHAUFFERIE,CHARTRES,SPL CHARTRES METROPOLE ENERGIES,closed,10002284,Permit Revoked,2018-02-27 10:07:44,16015,16015,16015,11041,11041,30065,30065,30065,8218,7355,6515,5703,4915,0,0,0
France,1090,CNIE DE COGENERATION DE LA BRAYE,Besse sur Braye,COMPAGNIE DE COGENERATION DE LA BRAYE,open,10003817,Active,2014-01-27 16:57:48,150909,150909,150908,107176,107176,107176,107176,107176,0,0,0,0,0,0,0,0
France,1091,CIMENTS CALCIA - Usine de Beffes,BEFFES,CIMENTS CALCIA,open,10003878,Active,2014-01-27 16:57:48,414517,414517,414518,443660,443660,443660,443660,443660,358696,352465,346162,339792,333355,326854,320273,313668
France,1092,DALKIA - DESCARTES ENERGIES,Descartes,DESCARTES ENERGIES,closed,10004212,Permit Revoked,2017-05-10 10:54:36,44547,44547,44546,31637,31637,31637,31637,31637,0,0,0,0,0,0,0,0
France,1093,CHAUFFERIE HUTCHINSON Usine de Montargis,CHALETTE sur LOING,SNC HUTCHINSON,open,10004249,Active,2015-04-28 16:39:36,21622,21622,21622,18092,18092,18092,18092,18092,6996,6261,8440,8285,8128,7969,7809,7648
France,1094,DALKIA France smurfit socar,Bigny Vallenay,SVD 17,closed,10004438,Permit Revoked,2012-11-02 14:48:03,38511,38511,38512,27351,27351,27351,0,0,,,,,,,,
France,1095,SWISS KRONO SAS,Sully-sur-Loire,SWISS KRONO SAS,open,10004585,Active,2015-04-28 16:46:36,19252,19252,19252,15145,15145,15145,15145,15145,101652,99886,64461,56400,48586,41025,33709,26667
France,1096,Station compres.de Roussines (GDF),Roussines,GRTGAZ,closed,10005199,Account Closed,2012-11-29 15:19:19,2519,2519,2520,56,0,0,0,0,,,,,,,,
France,1097,Chaufferie du Sanitas,Tours,TOURS HABITAT,closed,10005579,Permit Revoked,2015-05-07 10:05:14,8140,8140,8140,5612,5612,5612,5612,5612,5489,4912,0,0,0,0,0,0
France,1100,ISERGIE,Grenoble,ISERGIE,closed,10400022,Permit Revoked,2017-01-13 16:01:59,64625,64625,64626,44551,44551,44551,44551,44551,19929,0,0,0,0,0,0,0
France,1101,CCBC POLIENAS,POLIENAS,CARRIERES ET CHAUX BALTHAZARD ET COTTE,open,10400059,Active,2014-01-27 16:57:49,73514,73514,73515,72352,72352,72352,72352,72352,74033,72747,71446,70131,68803,67461,66103,64739
France,1102,DALKIA - Industelec Sud Est,Salaise sur Sanne/Roussillon,DALKIA,open,10400106,Active,2014-01-27 16:57:50,53434,53434,53433,37506,37506,37506,37506,37506,0,0,0,0,0,0,0,0
France,1103,BOUYER LEROUX - Saint Marcellin,Saint Marcellin en Forez,BOUYER LEROUX,open,10500177,Active,2020-01-27 13:42:09,12875,12875,12876,14526,14526,14526,14526,14526,16400,16116,9892,9711,9526,9341,3662,3587
France,1104,SAFRAN LANDING SYSTEMS - Ets de Villeurbanne,Villeurbanne Cedex,SAFRAN LANDING SYSTEMS,open,10600289,Active,2014-01-27 16:57:50,23812,23812,23813,22722,22722,22722,22722,22722,15658,15386,15111,14833,14551,14268,13980,13692
France,1105,OCV CHAMBERY FRANCE usine B - verrerie,Chambéry Cedex,OCV CHAMBERY FRANCE,closed,10700150,Permit Revoked,2010-03-01 14:37:26,36005,36005,36005,37468,37468,37468,37468,37468,,,,,,,,
France,1106,DALKIA Papeterie du Léman,Publier,SVD 17,closed,10800048,Permit Revoked,2009-05-08 09:13:58,40238,40238,40238,27658,27658,27658,27658,27658,,,,,,,,
France,1107,ALBIOMA LE MOULE,Le Moule (Guadeloupe),ALBIOMA LE MOULE,open,22100006,Active,2014-01-27 16:57:51,402428,402428,402428,283556,283556,283556,283556,283556,38412,37744,37075,36407,35739,35070,34402,33733
France,1108,EDF - Jarry Sud,Baie Mahault,EDF SA,open,22100013,Active,2009-05-08 09:13:58,178860,178860,178859,126027,126027,126027,126027,126027,,,,,,,,
France,1109,EDF - St barthélémy,Saint Barthélémy,EDF SA,closed,22100014,Permit Revoked,2009-05-08 09:13:58,60064,60064,60064,42322,42322,42322,42322,42322,,,,,,,,
France,1110,EDF - St Martin,Saint Martin,EDF SA,open,22100015,Active,2009-05-08 09:13:58,67896,67896,67897,47841,47841,47841,47841,47841,,,,,,,,
France,1111,ENERGIES ANTILLES - Site Jarry Sud,Baie Mahault,ENERGIES ANTILLES,open,22100016,Active,2009-05-08 09:13:58,105381,105381,105382,74253,74253,74253,74253,74253,,,,,,,,
France,1112,EDF - Jarry Nord,Baie Mahault,EDF SA,closed,22100044,Permit Revoked,2009-05-08 09:13:58,580079,580079,580078,408730,408730,408730,408730,408730,,,,,,,,
France,1113,EDF - St Martin 2,Saint Martin,EDF SA,closed,22100164,Permit Revoked,2009-05-08 09:13:58,59847,59847,59848,42170,42170,42170,42170,42170,,,,,,,,
France,1114,EDF Pointe des Carrières,Fort de France Cedex,EDF SA,open,22200016,Active,2009-05-08 09:13:58,349115,349115,349116,245991,245991,245991,245991,245991,,,,,,,,
France,1116,EDF BELLEFONTAINE A,Bellefontaine,EDF SA,open,22200031,Active,2009-05-08 09:13:58,635563,635563,635563,447825,447825,447825,447825,447825,,,,,,,,
France,1117,SARA,Le Lamentin,SARA Société Anonyme de la Raffinerie des Antilles,open,22200044,Active,2014-01-27 16:57:51,149174,149174,149174,127453,127453,127453,127453,127453,61238,60175,59098,58011,56912,55802,54679,53551
France,1118,Poterie des Trois Ilets,Trois Ilets,POTERIE DES TROIS ILETS,open,22200062,Active,2014-01-27 16:57:51,4555,4555,4554,3289,3289,3289,3289,3289,1833,1801,1768,1736,1703,1670,1636,1602
France,1119,Station compression de PALLEAU,Palleau,GRTGAZ,open,24600015,Active,2020-04-20 09:54:47,26678,26678,26677,35410,35410,35410,35410,35410,20334,18197,16118,14102,12148,10258,8428,1667
France,1121,SOCIETE FROMAGERE DE SAINTE CECILE,Sainte Cécile,BOUVIER,closed,05301510,Account Closed,2009-05-08 09:13:58,7790,7790,7790,,,,,,,,,,,,,
France,1122,COGESTAR - Papeterie Arjowiggins,Arches,COGESTAR,open,06204691,Active,2014-01-27 16:57:52,33262,33262,33262,23623,23623,23623,23623,23623,0,0,0,0,0,0,0,0
France,1123,S.C.U.C CHAUFFERIE A CENTRE,Créteil,Société de chauffage urbain de Créteil,open,06506493,Active,2014-01-27 16:57:52,14174,14174,14174,9772,9772,9772,9772,9772,9066,8114,7186,6288,5416,4574,3758,2973
France,1124,SDCF Sté de Distrib de Chaleur de Firminy,Firminy,SOCIETE DE DISTRIBUTION DE CHALEUR DE FIRMINY,open,06103344,Active,2014-01-27 16:57:53,31552,31552,31552,21752,21752,21752,21752,21752,13528,12107,10725,9387,8092,6837,5624,4455
France,1125,DURALEX INTERNAT. FR. Rive de Gier,Rive de Gier Cedex,Duralex International France SAS,closed,06103380,Permit Revoked,2012-10-22 16:22:56,12287,12287,12288,11104,11104,0,0,0,,,,,,,,
France,1126,PCE - Fort de l'Est - Saint-Denis,Saint Denis,PLAINE COMMUNE ENERGIE,open,06506446,Active,2014-01-27 16:57:53,135980,135980,135979,93741,93741,93741,93741,93741,46560,41667,36912,32309,27849,23534,19358,15333
France,1127,Alstom Site de Belfort- Chaudière du bâtiment 28,BELFORT Cedex,ALSTOM POWER SYSTEMS SA,closed,05901928,Permit Revoked,2015-02-26 11:06:53,10714,10714,10714,8429,8429,8429,8429,8429,9690,9522,0,0,0,0,0,0
France,1128,Turbine à gaz Alstom Power Service,Belfort,ALSTOM POWER SERVICE,closed,12400021,Permit Revoked,2012-12-06 10:22:02,1839,1839,1839,1447,0,0,0,0,,,,,,,,
France,1129,ENORIS - Curma Rue Victor Basch,Massy,ENORIS,open,06510009,Active,2014-01-27 16:57:53,,,,0,0,5625,5625,5625,6792,6079,5384,4711,4058,3427,2816,2227
France,1130,Tuilerie MONIER LIMOUX MASSIA,Limoux,MONIER,open,18200148,Active,2014-01-27 16:57:54,,,,0,0,45000,45000,45000,17031,16736,16437,16135,15828,15520,15208,14895
France,1131,COGESTAR 3 - LTR Industrie,Spay,COGESTAR 3,open,06304244,Active,2014-01-27 16:57:54,,,,0,0,56470,56470,56470,0,0,0,0,0,0,0,0
France,1132,WEYLCHEM LAMOTTE,Trosly Breuil,WEYLCHEM LAMOTTE,open,05105788,Active,2014-01-27 16:57:54,,,,25778,25778,25778,25778,25778,274381,269616,264793,259921,254997,250025,244990,239938
France,1133,Gazel Energie Generation - Centrale Emile Huchet,Saint Avold,GAZEL ENERGIE GENERATION,open,06207853,Active,2012-12-21 13:44:34,,,,3397052,3397052,5087534,5123502,5123502,,,,,,,,
France,1134,Evergreen,Saillat sur Vienne,EVERGREEN,open,06003024,Active,2014-01-27 16:57:54,,,,0,0,25886,25886,25886,0,0,0,0,0,0,0,0
France,1135,COGELYO NORD EST (SITE GOODYEAR),Amiens,COGELYO NORD EST,open,05105241,Active,2018-02-27 16:38:29,,,,0,0,101932,101932,101932,53615,52682,25875,25408,12471,12238,12005,11771
France,1136,Conserverie Morbihannaise,Lanvénégen,CONSERVERIE MORBIHANNAISE DUMENIL ET CIE,open,05501786,Active,2014-01-27 16:57:55,,,,0,0,7496,7496,7496,5106,4570,4048,3541,3051,2575,2116,1674
France,1137,TEREOS STARCH & SWEETENERS LBN,Lillebonne,TEREOS STARCH & SWEETENERS LBN,open,05803187,Active,2020-12-08 11:29:38,,,,0,0,101575,101575,122246,159832,157056,154247,79571,78064,55101,53991,52877
France,1138,ALBIOMA GALION,Trinité (Martinique),ALBIOMA GALION,open,22300001,Active,2014-01-27 16:57:56,,,,0,0,51120,51120,51120,0,0,0,0,0,0,0,0
France,1139,Cabot Carbone SAS,Lillebonne,CABOT CARBONE,open,05800290,Active,2014-01-27 16:57:56,,,,213448,213448,213448,213448,213448,161636,158829,155988,153118,150217,147288,144322,141346
France,1140,SAINT GOBAIN EUROCOUSTIC,Genouillac,SAINT GOBAIN EUROCOUSTIC,open,06000357,Active,2014-01-27 16:57:57,,,,55980,55980,55980,55980,55980,41191,40476,39752,39021,38281,37535,36779,36021
France,1141,Usine de Sablé sur Sarthe -,Sablé sur Sarthe,FROMAGERIES BEL PRODUCTION FRANCE,open,06301733,Active,2015-03-02 17:33:21,,,,18712,18712,18712,18712,18712,15342,14772,13454,12174,10930,9723,8553,7423
France,1142,SAEM PSRM - Usine du Galion,Trinité,SAEM PSRM,closed,22200040,Permit Revoked,2019-01-22 11:00:53,,,,352,352,352,352,352,6798,6680,6560,6440,6318,0,0,0
France,1143,Unité de Trémeven,Tremeven,COGESTAR 3,open,05514051,Active,2014-01-27 16:57:58,,,,0,0,44088,44088,44088,0,0,0,0,0,0,0,0
France,1144,Centrale Thermique Arjowiggins Papeterie de l'Aa,Wizernes,DALKIA,closed,28300009,Permit Revoked,2017-05-10 10:51:52,,,,0,0,126420,126420,126420,0,0,0,0,0,0,0,0
France,1145,Cogénération Einstein,Lyon,ELM OPERATIONS,open,10600822,Active,2014-01-27 16:57:58,,,,0,0,36730,36730,36730,16758,14996,13285,11629,10023,8470,6968,5519
France,1146,ENERTHERM - Centrale Noël Pons,Nanterre,ENERTHERM,open,07403734,Active,2014-01-27 16:57:58,,,,0,0,108557,108557,108654,0,0,0,0,0,0,0,0
France,1147,SAIPOL - Etablissement de LE MERIOT,LE MERIOT,SAIPOL SAS,open,05702999,Active,2014-01-27 16:57:59,,,,0,0,57869,57869,57869,36435,35642,34846,34050,33255,32458,31657,30863
France,1148,TERREAL CHAGNY 2,Chagny,TERREAL,open,25200084,Active,2014-01-27 16:57:59,,,,0,0,24512,24512,24512,13249,13019,12786,12551,12312,12073,11830,11586
France,1149,ETF- CENTRALE CYCOFOS,Fos-sur-Mer,ENGIE THERMIQUE FRANCE,open,06405412,Active,2012-12-21 13:44:35,,,,0,0,851180,851180,851180,,,,,,,,
France,1150,EDF - TAC DE VAIRES,Vaires-sur-Marne,EDF SA,open,06512368,Active,2010-03-11 12:29:14,,,,0,0,146520,146520,146520,,,,,,,,
France,1151,TDE - Centrale Electrique Pont sur Sambre,Pont sur Sambre,TOTAL DIRECT ENERGIE - CENTRALE ELECTRIQUE PONT SUR SAMBRE,open,28100042,Active,2010-03-12 12:18:29,,,,0,0,831908,831908,831908,,,,,,,,
France,1152,SAINT GOBAIN ISOVER Chemillé,Chemillé,SAINT GOBAIN ISOVER,open,06305094,Active,2014-04-22 17:22:51,,,,0,0,31663,31663,31663,4610 4258***,4530 4184***,4449 4110***,4367 4036***,4284 3962***,4201 3888***,4116 3813***,4031 3739***
France,1153,BBES Nouvelle Chauf Urb Chancellerie Gibjoncs,Bourges,BOURGES BIO ENERGIE SERVICES,open,10009453,Active,2014-01-27 16:58:00,,,,0,0,7475,7780,8050,10662,9542,8452,7395,6370,5379,4420,3496
France,1154,ALPHAGLASS,Arques,ALPHAGLASS,open,07004138,Active,2014-01-27 16:58:00,,,,0,0,52876,52876,52876,43228,42477,41718,40950,40174,39391,38598,37802
France,1155,VALTRIS ENTERPRISES FRANCE,Verdun Cedex,VALTRIS ENTERPRISES FRANCE SAS,open,06200938,Active,2014-01-27 16:58:00,,,,0,0,38516,38738,38690,36061,35435,34801,34161,33513,32860,32198,31534
France,1156,WIENERBERGER - Durtal,Durtal,WIENERBERGER,open,06304981,Active,2014-01-27 16:58:01,,,,0,0,47722,47722,47722,23312,22908,22498,22084,21666,21243,20815,20387
